CRSP Ticker,Fiscal Quarter,Net Income,Operating Income,EPS Diluted,EPS Basic,CEO Dismissal,10 Year Treasury Yield,3 Month Treasury Yield,3 Month Treasury Yield (Bond Equivalent Basis),Spread,Recession Probability,Recession,Adjusted Close,GICS Sector,GICS Sub-Industry,Date added
AMD,2009Q2,-0.21030405405405406,-0.2829391891891892,-0.5,-0.5,0.0,3.313333333333334,0.17333333333333334,0.17581800308119144,3.137515330252142,0.026125309918641686,1.0,3.869999885559082,Information Technology,Semiconductors,2017-03-20
AMD,2009Q3,-0.05515759312320917,-0.09670487106017192,-0.19,-0.19,0.0,3.516666666666667,0.15666666666666665,0.15890728969081955,3.357759376975847,0.02243963039131591,0.0,5.659999847412109,Information Technology,Semiconductors,2017-03-20
AMD,2010Q1,0.1156289707750953,0.16327827191867852,0.34,0.36,0.0,3.716666666666667,0.10666666666666667,0.10818079285990534,3.6084858738067616,0.01680554142946474,0.0,9.270000457763672,Information Technology,Semiconductors,2017-03-20
AMD,2010Q2,0.07562008469449485,-0.02601330913490623,-0.06,-0.06,0.0,3.49,0.14666666666666667,0.14875976690346937,3.341240233096531,0.0067115813103124965,0.0,7.320000171661377,Information Technology,Semiconductors,2017-03-20
AMD,2010Q3,0.07911001236093942,-0.07292954264524104,-0.17,-0.17,0.0,2.7866666666666666,0.15666666666666665,0.15890557914230194,2.6277610875243647,0.003942952782689057,0.0,7.110000133514404,Information Technology,Semiconductors,2017-03-20
AMD,2010Q4,0.2504548211036992,0.22741055184960582,0.49,0.52,0.0,2.8633333333333333,0.1366666666666667,0.13861275738059217,2.724720575952741,0.0036572893388014554,0.0,8.180000305175781,Information Technology,Semiconductors,2017-03-20
AMD,2011Q1,0.03347799132052077,0.3161810291382517,0.67,0.71,1.0,3.4600000000000004,0.12666666666666668,0.12846814230903755,3.3315318576909623,0.00242788007156202,0.0,8.600000381469727,Information Technology,Semiconductors,2017-03-20
AMD,2011Q2,0.06670902160101652,0.03875476493011436,0.08,0.08,1.0,3.2099999999999995,0.04666666666666667,0.047320624765589646,3.16267937523441,0.004442118823198025,0.0,6.989999771118164,Information Technology,Semiconductors,2017-03-20
AMD,2011Q3,0.08165680473372781,0.05739644970414201,0.13,0.13,1.0,2.4266666666666663,0.023333333333333334,0.023659201585125245,2.4030074650815414,0.014392493660523059,0.0,5.079999923706055,Information Technology,Semiconductors,2017-03-20
AMD,2011Q4,0.041986989946777055,-0.10467179183914843,-0.24,-0.24,0.0,2.0466666666666664,0.013333333333333334,0.013519031117274682,2.033147635549392,0.013274727506510231,0.0,5.400000095367432,Information Technology,Semiconductors,2017-03-20
AMD,2012Q1,-0.3659305993690852,-0.3722397476340694,-0.8,-0.8,0.0,2.0366666666666666,0.06666666666666667,0.06760575147850438,1.9690609151881624,0.00416740876839907,0.0,8.020000457763672,Information Technology,Semiconductors,2017-03-20
AMD,2012Q2,0.05449398443029016,0.026185421089879687,0.05,0.05,0.0,1.8233333333333333,0.08666666666666667,0.08788968169850885,1.7354436516348244,0.005880571884091949,0.0,5.730000019073486,Information Technology,Semiconductors,2017-03-20
AMD,2012Q3,-0.10323089046493301,-0.12371946414499606,-0.21,-0.21,0.0,1.6433333333333333,0.10333333333333333,0.10479594859168624,1.538537384741647,0.02320898835527893,0.0,3.369999885559082,Information Technology,Semiconductors,2017-03-20
AMD,2012Q4,-0.36536796536796534,-0.4095238095238095,-0.63,-0.63,0.0,1.7066666666666668,0.08666666666666667,0.08789002363697689,1.6187766430296897,0.034490083854188634,0.0,2.400000095367432,Information Technology,Semiconductors,2017-03-20
AMD,2013Q1,-0.0900735294117647,-0.13419117647058823,-0.19,-0.19,0.0,1.95,0.08666666666666667,0.08789002363697689,1.8621099763630233,0.03778641641864052,0.0,2.549999952316284,Information Technology,Semiconductors,2017-03-20
AMD,2013Q2,-0.024978466838931956,-0.06373815676141258,-0.1,-0.1,0.0,1.9966666666666668,0.049999999999999996,0.050701023392707746,1.9459656432739587,0.05247135765407307,0.0,4.079999923706055,Information Technology,Semiconductors,2017-03-20
AMD,2013Q3,0.0650239561943874,0.03285420944558522,0.06,0.06,0.0,2.7100000000000004,0.03333333333333333,0.03379937205297581,2.6762006279470243,0.06612211684153955,0.0,3.809999942779541,Information Technology,Semiconductors,2017-03-20
AMD,2013Q4,0.08495909376966645,0.05601006922592826,0.12,0.12,0.0,2.7466666666666666,0.06333333333333334,0.0642234725463784,2.6824431941202884,0.059685413397742616,0.0,3.869999885559082,Information Technology,Semiconductors,2017-03-20
AMD,2014Q1,0.03507516105941303,-0.014316392269148175,-0.03,-0.03,0.0,2.763333333333333,0.04666666666666667,0.0473204538417356,2.7160128794915974,0.0434558542394378,0.0,4.010000228881836,Information Technology,Semiconductors,2017-03-20
AMD,2014Q2,0.04371963913948647,-0.02498265093684941,-0.05,-0.05,0.0,2.6233333333333335,0.03333333333333333,0.03379920115504587,2.589534132178288,0.04028884460827772,0.0,4.190000057220459,Information Technology,Semiconductors,2017-03-20
AMD,2014Q3,0.044086773967809655,0.011896431070678797,0.02,0.02,0.0,2.4966666666666666,0.02666666666666667,0.027038916620522286,2.4696277500461448,0.0131242172778039,0.0,3.4100000858306885,Information Technology,Semiconductors,2017-03-20
AMD,2014Q4,-0.26634382566585957,-0.2937853107344633,-0.47,-0.47,0.0,2.28,0.023333333333333334,0.023658859802225457,2.2563411401977747,0.013002800868000966,0.0,2.6700000762939453,Information Technology,Semiconductors,2017-03-20
AMD,2015Q1,-0.13300970873786408,-0.17475728155339806,-0.23,-0.23,0.0,1.9666666666666668,0.02666666666666667,0.027038916620522286,1.9396277500461443,0.012219171406984483,0.0,2.680000066757202,Information Technology,Semiconductors,2017-03-20
AMD,2015Q2,-0.1454352441613588,-0.1921443736730361,-0.23,-0.23,0.0,2.1666666666666665,0.02,0.02027880298392863,2.146387863682738,0.01497790202767954,0.0,2.400000095367432,Information Technology,Semiconductors,2017-03-20
AMD,2015Q3,-0.14891611687087652,-0.18567389255419417,-0.25,-0.25,0.0,2.22,0.04,0.040560853002629495,2.1794391469973706,0.01807607909696618,0.0,1.7200000286102295,Information Technology,Semiconductors,2017-03-20
AMD,2015Q4,-0.0511482254697286,-0.10647181628392484,-0.13,-0.13,0.0,2.19,0.12333333333333334,0.12510416212541475,2.064895837874585,0.02497820617790321,0.0,2.869999885559082,Information Technology,Semiconductors,2017-03-20
AMD,2016Q1,-0.08173076923076923,-0.1310096153846154,-0.14,-0.14,0.0,1.92,0.2866666666666667,0.29085999758430936,1.6291400024156906,0.03924642017403044,0.0,2.8499999046325684,Information Technology,Semiconductors,2017-03-20
AMD,2016Q2,-0.007789678675754625,0.06718597857838364,0.08,0.09,0.0,1.7533333333333332,0.25666666666666665,0.26040134130836984,1.4929319920249633,0.030015623114272527,0.0,5.139999866485596,Information Technology,Semiconductors,2017-03-20
AMD,2016Q3,-0.22417750573833206,-0.31063504208110176,-0.5,-0.5,0.0,1.5633333333333332,0.29666666666666663,0.3010128258228983,1.2623205075104351,0.028038871376045642,0.0,6.909999847412109,Information Technology,Semiconductors,2017-03-20
AMD,2016Q4,-0.0026019080659150044,-0.04423243712055507,-0.05,-0.05,0.0,2.1300000000000003,0.43,0.4364610134683084,1.6935389865316919,0.03293704175431889,0.0,11.34000015258789,Information Technology,Semiconductors,2017-03-20
